"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"274","Osmunda cinnamomea","Osmunda cinnamomea"
"275","Pyrola americana","Pyrola americana"
"276","Pyrola elliptica","Pyrola elliptica"
"277","Betula alleghaniensis","Betula alleghaniensis"
"278","Ostrya virginiana","Ostrya virginiana"
"279","Corylus cornuta","Corylus cornuta"
"280","Viola rostrata","Viola rostrata"
"281","Carya ovata","Carya ovata"
"282","Acer negundo","Acer negundo"
"283","Tilia americana","Tilia americana"
"284","Lyonia ligustrina","Lyonia ligustrina"
"285","Leersia virginica","Leersia virginica"
"286","Lindera benzoin","Lindera benzoin"
"287","Oxalis stricta","Oxalis stricta"
"288","Rosa multiflora","Rosa multiflora"
"289","Ailanthus altissima","Ailanthus altissima"
"290","Elymus virginicus","Elymus virginicus"
"291","Erechtites hieraciifolia","Erechtites hieraciifolia"
"292","Hackelia virginiana","Hackelia virginiana"
"293","Liriodendron tulipifera","Liriodendron tulipifera"
"294","Lonicera japonica","Lonicera japonica"
"295","Lonicera maackii","Lonicera maackii"
"296","Pilea pumila","Pilea pumila"
"297","Carex blanda","Carex blanda"
"298","Celtis occidentalis","Celtis occidentalis"
"299","Smilax tamnoides","Smilax tamnoides"
"300","Toxicodendron radicans","Toxicodendron radicans"
"301","Verbesina occidentalis","Verbesina occidentalis"
"302","Duchesnea indica","Duchesnea indica"
"303","Juglans nigra","Juglans nigra"
"304","Polygonum hydropiperoides","Polygonum hydropiperoides"
"305","Quercus muehlenbergii","Quercus muehlenbergii"
"306","Rubus phoenicolasius","Rubus phoenicolasius"
"307","Smilax rotundifolia","Smilax rotundifolia"
"308","Alliaria petiolata","Alliaria petiolata"
"309","Asimina triloba","Asimina triloba"
"310","Celastrus orbiculatus","Celastrus orbiculatus"
"311","Elymus macgregorii","Elymus macgregorii"
"312","Festuca subverticillata","Festuca subverticillata"
"313","Microstegium vimineum","Microstegium vimineum"
"314","Parthenocissus quinquefolia","Parthenocissus quinquefolia"
"315","Verbesina alternifolia","Verbesina alternifolia"
"316","Carex kraliana","Carex kraliana"
"317","Poa compressa","Poa compressa"
"318","Polygonum virginianum","Polygonum virginianum"
"319","Prunus avium","Prunus avium"
"320","Berberis thunbergii","Berberis thunbergii"
"321","Euonymus fortunei","Euonymus fortunei"
"322","Nyssa sylvatica","Nyssa sylvatica"
"323","Poa trivialis","Poa trivialis"
"324","Elymus hystrix","Elymus hystrix"
"325","Juniperus virginiana","Juniperus virginiana"
"326","Ligustrum sinense","Ligustrum sinense"
"327","Elymus hystrix","Elymus hystrix"
"328","Circaea lutetiana","Circaea lutetiana"
"329","Polygonum convolvulus","Polygonum convolvulus"
"330","Elaeagnus umbellata","Elaeagnus umbellata"
"331","Sanicula canadensis","Sanicula canadensis"
"332","Perilla frutescens","Perilla frutescens"
"333","Symphoricarpos orbiculatus","Symphoricarpos orbiculatus"
"334","Geum canadense","Geum canadense"
"335","Platanus occidentalis","Platanus occidentalis"
"336","Quercus michauxii","Quercus michauxii"
"337","Circaea lutetiana","Circaea lutetiana"
"338","Agrostis gigantea","Agrostis gigantea"
"339","Lobelia inflata","Lobelia inflata"
"340","Acalypha rhomboidea","Acalypha rhomboidea"
"341","Plantago rugelii","Plantago rugelii"
"342","Setaria faberi","Setaria faberi"
"343","Carduus acanthoides","Carduus acanthoides"
"344","Morus alba","Morus alba"
"345","Phleum pratense","Phleum pratense"
"346","Spiranthes lacera","Spiranthes lacera"
"347","Verbena urticifolia","Verbena urticifolia"
"348","Allium vineale","Allium vineale"
"349","Eragrostis capillaris","Eragrostis capillaris"
"350","Juncus tenuis","Juncus tenuis"
"351","Medicago lupulina","Medicago lupulina"
"352","Potentilla recta","Potentilla recta"
"353","Sorghum halepense","Sorghum halepense"
"354","Stellaria graminea","Stellaria graminea"
"355","Trifolium campestre","Trifolium campestre"
"356","Trifolium pratense","Trifolium pratense"
"357","Verbascum blattaria","Verbascum blattaria"
"358","Eleusine indica","Eleusine indica"
"359","Maclura pomifera","Maclura pomifera"
