"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"2092","Ipomoea barbatisepala","Ipomoea barbatisepala"
"2093","Rottboellia cochinchinensis","Rottboellia cochinchinensis"
"2094","Cyperus lupulinus","Cyperus lupulinus"
"2095","Oxalis rubra","Oxalis rubra"
"2096","Rhododendron cumberlandense","Rhododendron cumberlandense"
"2097","Saccharum giganteum","Saccharum giganteum"
"2098","Euphorbia tetrapora","Euphorbia tetrapora"
"2099","Desmodium tenuifolium","Desmodium tenuifolium"
"2100","Phacelia grandiflora","Phacelia grandiflora"
"2101","Melinis repens","Melinis repens"
"2102","Galactia pinetorum","Galactia pinetorum"
"2103","Rhodomyrtus tomentosa","Rhodomyrtus tomentosa"
"2104","Chamaesyce hypericifolia","Chamaesyce hypericifolia"
"2105","Artemisia serrata","Artemisia serrata"
"2106","Lesquerella angustifolia","Lesquerella angustifolia"
"2107","Verbesina heterophylla","Verbesina heterophylla"
"2108","Crataegus ×anomala","Crataegus ×anomala"
"2109","Pleopeltis polylepis","Pleopeltis polylepis"
"2110","Striga asiatica","Striga asiatica"
"2111","Asimina reticulata","Asimina reticulata"
"2112","Sideroxylon tenax","Sideroxylon tenax"
"2113","Agrimonia gryposepala","Agrimonia gryposepala"
"2114","Quercus ×macnabiana","Quercus ×macnabiana"
"2115","Descurainia pinnata","Descurainia pinnata"
"2116","Yucca filamentosa","Yucca filamentosa"
"2117","Digitaria eriantha","Digitaria eriantha"
"2118","Gaura biennis","Gaura biennis"
"2119","Pityopsis oligantha","Pityopsis oligantha"
"2120","Smilax lasioneura","Smilax lasioneura"
"2121","Desmodium triflorum","Desmodium triflorum"
"2122","Coreopsis lanceolata","Coreopsis lanceolata"
"2123","Stellaria umbellata","Stellaria umbellata"
"2124","Lechea torreyi","Lechea torreyi"
"2125","Dalea albida","Dalea albida"
"2126","Desmodium procumbens","Desmodium procumbens"
"2127","Euphorbia texana","Euphorbia texana"
"2128","Pennisetum purpureum","Pennisetum purpureum"
"2129","Bulbostylis warei","Bulbostylis warei"
"2130","Polygala polygama","Polygala polygama"
"2131","Hypericum myrtifolium","Hypericum myrtifolium"
"2132","Sporobolus floridanus","Sporobolus floridanus"
"2133","Galium uniflorum","Galium uniflorum"
"2134","Dicentra canadensis","Dicentra canadensis"
"2135","Leptochloa dubia","Leptochloa dubia"
"2136","Cymbopogon refractus","Cymbopogon refractus"
"2137","Buchnera americana","Buchnera americana"
"2138","Digitaria violascens","Digitaria violascens"
"2139","Aletris obovata","Aletris obovata"
"2140","Penstemon laevigatus","Penstemon laevigatus"
"2141","Hypericum cistifolium","Hypericum cistifolium"
"2142","Digitaria texana","Digitaria texana"
"2143","Penstemon australis","Penstemon australis"
"2144","Cyperus flavescens","Cyperus flavescens"
"2145","Chamaesyce maculata","Chamaesyce maculata"
"2146","Pennisetum ciliare","Pennisetum ciliare"
"2147","Desmodium lindheimeri","Desmodium lindheimeri"
"2148","Carphephorus odoratissimus","Carphephorus odoratissimus"
"2149","Cuscuta compacta","Cuscuta compacta"
"2150","Paronychia rugelii","Paronychia rugelii"
"2151","Eustachys neglecta","Eustachys neglecta"
"2152","Ipomoea triloba","Ipomoea triloba"
"2153","Amaranthus palmeri","Amaranthus palmeri"
"2154","Cyperus polystachyos","Cyperus polystachyos"
"2155","Euphorbia heterophylla","Euphorbia heterophylla"
"2156","Oenothera biennis","Oenothera biennis"
"2157","Brassica juncea","Brassica juncea"
"2158","Cenchrus echinatus","Cenchrus echinatus"
"2159","Vaccinium tenellum","Vaccinium tenellum"
"2160","Chasmanthium nitidum","Chasmanthium nitidum"
"2161","Ipomoea hederifolia","Ipomoea hederifolia"
"2162","Eryngium yuccifolium","Eryngium yuccifolium"
"2163","Cryptantha paysonii","Cryptantha paysonii"
"2164","Dioscorea floridana","Dioscorea floridana"
"2165","Ilex ambigua","Ilex ambigua"
"2166","Clematis reticulata","Clematis reticulata"
"2167","Calochortus amoenus","Calochortus amoenus"
"2168","Halesia diptera","Halesia diptera"
"2169","Persea palustris","Persea palustris"
"2170","Centaurea virgata","Centaurea virgata"
"2171","Ilex glabra","Ilex glabra"
"2172","Butia capitata","Butia capitata"
"2173","Pterocaulon pycnostachyum","Pterocaulon pycnostachyum"
"2174","Piptochaetium avenaceum","Piptochaetium avenaceum"
"2175","Dactyloctenium aegyptium","Dactyloctenium aegyptium"
"2176","Descurainia incana","Descurainia incana"
"2177","Tridens flavus","Tridens flavus"
"2178","Galactia floridana","Galactia floridana"
"2179","Solidago auriculata","Solidago auriculata"
"2180","Pennisetum glaucum","Pennisetum glaucum"
"2181","Triumfetta semitriloba","Triumfetta semitriloba"
"2182","Symphyotrichum oblongifolium","Symphyotrichum oblongifolium"
"2183","Cyperus croceus","Cyperus croceus"
"2184","Gamochaeta americana","Gamochaeta americana"
"2185","Paronychia setacea","Paronychia setacea"
"2186","Tridens flavus","Tridens flavus"
"2187","Ageratum houstonianum","Ageratum houstonianum"
"2188","Euphorbia curtisii","Euphorbia curtisii"
"2189","Pinus glabra","Pinus glabra"
"2190","Oplismenus hirtellus","Oplismenus hirtellus"
"2191","Penstemon multiflorus","Penstemon multiflorus"
"2192","Setaria magna","Setaria magna"
"2193","Eremochloa ophiuroides","Eremochloa ophiuroides"
"2194","Paronychia baldwinii","Paronychia baldwinii"
"2195","Crotalaria juncea","Crotalaria juncea"
"2196","Juncus dichotomus","Juncus dichotomus"
"2197","Corymbia calophylla","Corymbia calophylla"
"2198","Oxalis debilis","Oxalis debilis"
"2199","Panicum rigidulum","Panicum rigidulum"
"2200","Cymodocea filiformis","Cymodocea filiformis"
"2201","Diplazium striatum","Diplazium striatum"
"2202","Schinus terebinthifolius","Schinus terebinthifolius"
"2203","Liatris pauciflora","Liatris pauciflora"
"2204","Scutellaria incana","Scutellaria incana"
"2205","Hymenocallis crassifolia","Hymenocallis crassifolia"
"2206","Rhynchosia cinerea","Rhynchosia cinerea"
"2207","Hybanthus linearifolius","Hybanthus linearifolius"
"2208","Erythrina herbacea","Erythrina herbacea"
"2209","Oldenlandia uniflora","Oldenlandia uniflora"
"2210","Cyperus eragrostis","Cyperus eragrostis"
"2211","Verbena incompta","Verbena incompta"
"2212","Eupatorium leptophyllum","Eupatorium leptophyllum"
"2213","Parapholis incurva","Parapholis incurva"
"2214","Forestiera acuminata","Forestiera acuminata"
"2215","Desmodium perplexum","Desmodium perplexum"
"2216","Nothoscordum bivalve","Nothoscordum bivalve"
"2217","Dioscorea bulbifera","Dioscorea bulbifera"
"2218","Acer grandidentatum","Acer grandidentatum"
"2219","Chamaesyce lata","Chamaesyce lata"
"2220","Chenopodium incanum","Chenopodium incanum"
"2221","Crataegus punctata","Crataegus punctata"
"2222","Andropogon virginicus","Andropogon virginicus"
"2223","Eleocharis elongata","Eleocharis elongata"
"2224","Quercus ×venulosa","Quercus ×venulosa"
"2225","Pseudocydonia sinensis","Pseudocydonia sinensis"
"2226","Phacelia coerulea","Phacelia coerulea"
"2227","Astragalus crassicarpus","Astragalus crassicarpus"
"2228","Carex caroliniana","Carex caroliniana"
"2229","Callitriche heterophylla","Callitriche heterophylla"
"2230","Persea borbonia","Persea borbonia"
"2231","Packera tomentosa","Packera tomentosa"
"2232","Quercus minima","Quercus minima"
"2233","Hypericum suffruticosum","Hypericum suffruticosum"
"2234","Tiquilia canescens","Tiquilia canescens"
"2235","Polygala boykinii","Polygala boykinii"
"2236","Sticta sylvatica","Sticta sylvatica"
"2237","Desmodium glutinosum","Desmodium glutinosum"
"2238","Rudbeckia mollis","Rudbeckia mollis"
"2239","Aristida lanosa","Aristida lanosa"
"2240","Indigofera caroliniana","Indigofera caroliniana"
"2241","Quercus pumila","Quercus pumila"
"2242","Linum floridanum","Linum floridanum"
"2243","Dichromanthus cinnabarinus","Dichromanthus cinnabarinus"
"2244","Ludwigia hirtella","Ludwigia hirtella"
"2245","Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum"
"2246","Pycnanthemum albescens","Pycnanthemum albescens"
"2247","Amelanchier utahensis","Amelanchier utahensis"
"2248","Trifolium dubium","Trifolium dubium"
"2249","Desmanthus obtusus","Desmanthus obtusus"
"2250","Clematis glaucophylla","Clematis glaucophylla"
"2251","Magnolia virginiana","Magnolia virginiana"
"2252","Dyschoriste angusta","Dyschoriste angusta"
"2253","Sideroxylon lanuginosum","Sideroxylon lanuginosum"
"2254","Ctenium aromaticum","Ctenium aromaticum"
"2255","Froelichia floridana","Froelichia floridana"
"2256","Viburnum dentatum","Viburnum dentatum"
"2257","Viola lanceolata","Viola lanceolata"
"2258","Symphyotrichum pilosum","Symphyotrichum pilosum"
"2259","Asimina incana","Asimina incana"
"2260","Licania michauxii","Licania michauxii"
"2261","Dicerandra linearifolia","Dicerandra linearifolia"
"2262","Houstonia croftiae","Houstonia croftiae"
"2263","Oxydendrum arboreum","Oxydendrum arboreum"
"2264","Gaillardia pinnatifida","Gaillardia pinnatifida"
"2265","Dicerandra densiflora","Dicerandra densiflora"
"2266","Selinocarpus parvifolius","Selinocarpus parvifolius"
"2267","Orbexilum lupinellum","Orbexilum lupinellum"
"2268","Salix taxifolia","Salix taxifolia"
"2269","Selaginella tortipila","Selaginella tortipila"
"2270","Eupatorium hyssopifolium","Eupatorium hyssopifolium"
"2271","Ageratina aromatica","Ageratina aromatica"
"2272","Calylophus serrulatus","Calylophus serrulatus"
"2273","Comandra umbellata","Comandra umbellata"
"2274","Dichanthelium villosissimum","Dichanthelium villosissimum"
"2275","Sporobolus heterolepis","Sporobolus heterolepis"
"2276","Carex meadii","Carex meadii"
"2277","Dichanthelium oligosanthes","Dichanthelium oligosanthes"
"2278","Salvia azurea","Salvia azurea"
"2279","Symphyotrichum sericeum","Symphyotrichum sericeum"
"2280","Amorpha canescens","Amorpha canescens"
"2281","Panicum capillare","Panicum capillare"
"2282","Carex molesta","Carex molesta"
"2283","Solidago canadensis","Solidago canadensis"
"2284","Physalis pumila","Physalis pumila"
"2285","Baptisia bracteata","Baptisia bracteata"
"2286","Antennaria neglecta","Antennaria neglecta"
"2287","Oligoneuron rigidum","Oligoneuron rigidum"
"2288","Panicum virgatum","Panicum virgatum"
"2289","Pediomelum esculentum","Pediomelum esculentum"
"2290","Sisyrinchium campestre","Sisyrinchium campestre"
"2291","Viola pedatifida","Viola pedatifida"
"2292","Baptisia australis","Baptisia australis"
"2293","Mirabilis albida","Mirabilis albida"
"2294","Oenothera macrocarpa","Oenothera macrocarpa"
"2295","Verbena stricta","Verbena stricta"
"2296","Packera plattensis","Packera plattensis"
"2297","Acalypha virginica","Acalypha virginica"
"2298","Glandularia canadensis","Glandularia canadensis"
"2299","Symphyotrichum laeve","Symphyotrichum laeve"
"2300","Symphyotrichum praealtum","Symphyotrichum praealtum"
"2301","Euphorbia davidii","Euphorbia davidii"
"2302","Hymenopappus scabiosaeus","Hymenopappus scabiosaeus"
"2303","Scutellaria parvula","Scutellaria parvula"
"2304","Desmodium illinoense","Desmodium illinoense"
"2305","Euphorbia marginata","Euphorbia marginata"
"2306","Lepidium densiflorum","Lepidium densiflorum"
"2307","Cirsium altissimum","Cirsium altissimum"
"2308","Eleocharis erythropoda","Eleocharis erythropoda"
"2309","Ribes missouriense","Ribes missouriense"
"2310","Carex grisea","Carex grisea"
"2311","Elymus villosus","Elymus villosus"
"2312","Sanicula odorata","Sanicula odorata"
"2313","Celastrus scandens","Celastrus scandens"
"2314","Galium concinnum","Galium concinnum"
"2315","Pycnanthemum tenuifolium","Pycnanthemum tenuifolium"
"2316","Vitis riparia","Vitis riparia"
"2317","Carex oligocarpa","Carex oligocarpa"
"2318","Ruellia strepens","Ruellia strepens"
"2319","Solidago nemoralis","Solidago nemoralis"
"2320","Cuscuta indecora","Cuscuta indecora"
"2321","Solanum ptycanthum","Solanum ptycanthum"
"2322","Solanum rostratum","Solanum rostratum"
"2323","Zanthoxylum americanum","Zanthoxylum americanum"
"2324","Muhlenbergia racemosa","Muhlenbergia racemosa"
"2325","Carex bushii","Carex bushii"
"2326","Carex gravida","Carex gravida"
"2327","Mirabilis nyctaginea","Mirabilis nyctaginea"
"2328","Androsace occidentalis","Androsace occidentalis"
"2329","Setaria viridis","Setaria viridis"
"2330","Chamaesyce serpens","Chamaesyce serpens"
"2331","Bouteloua curtipendula","Bouteloua curtipendula"
"2332","Elymus virginicus","Elymus virginicus"
"2333","Carex inops","Carex inops"
"2334","Xanthium strumarium","Xanthium strumarium"
"2335","Rumex altissimus","Rumex altissimus"
"2336","Juncus torreyi","Juncus torreyi"
"2337","Muhlenbergia bushii","Muhlenbergia bushii"
"2338","Verbena hastata","Verbena hastata"
"2339","Spartina pectinata","Spartina pectinata"
"2340","Eleocharis compressa","Eleocharis compressa"
"2341","Eleocharis compressa","Eleocharis compressa"
"2342","Ammannia coccinea","Ammannia coccinea"
"2343","Populus deltoides","Populus deltoides"
"2344","Polygonum punctatum","Polygonum punctatum"
"2345","Spartina gracilis","Spartina gracilis"
"2346","Viola missouriensis","Viola missouriensis"
"2347","Amaranthus tuberculatus","Amaranthus tuberculatus"
"2348","Baptisia australis","Baptisia australis"
"2349","Symphyotrichum robynsianum","Symphyotrichum robynsianum"
"2350","Sphenopholis obtusata","Sphenopholis obtusata"
"2351","Helianthus hirsutus","Helianthus hirsutus"
"2352","Galium circaezans","Galium circaezans"
"2353","Helianthus tuberosus","Helianthus tuberosus"
"2354","Euphorbia cyathophora","Euphorbia cyathophora"
"2355","Trichostema brachiatum","Trichostema brachiatum"
"2356","Oligoneuron rigidum","Oligoneuron rigidum"
"2357","Stenaria nigricans","Stenaria nigricans"
"2358","Schizachyrium littorale","Schizachyrium littorale"
"2359","Astragalus plattensis","Astragalus plattensis"
"2360","Cydonia oblonga","Cydonia oblonga"
"2361","Agalinis densiflora","Agalinis densiflora"
"2362","Allium stellatum","Allium stellatum"
"2363","Oenothera villosa","Oenothera villosa"
"2364","Dichanthelium villosissimum","Dichanthelium villosissimum"
"2365","Physalis longifolia","Physalis longifolia"
"2366","Schizachyrium scoparium","Schizachyrium scoparium"
"2367","Onosmodium bejariense","Onosmodium bejariense"
"2368","Yucca glauca","Yucca glauca"
"2369","Muhlenbergia sobolifera","Muhlenbergia sobolifera"
"2370","Armoracia rusticana","Armoracia rusticana"
"2371","Bromus inermis","Bromus inermis"
"2372","Calystegia macounii","Calystegia macounii"
"2373","Porotrichum vancouveriense","Porotrichum vancouveriense"
"2374","Brugmansia ×candida","Brugmansia ×candida"
"2375","Symphyotrichum laeve","Symphyotrichum laeve"
"2376","Helianthus pauciflorus","Helianthus pauciflorus"
"2377","Kummerowia stipulacea","Kummerowia stipulacea"
"2378","Onosmodium bejariense","Onosmodium bejariense"
"2379","Cirsium undulatum","Cirsium undulatum"
"2380","Ageratina altissima","Ageratina altissima"
"2381","Rubus laudatus","Rubus laudatus"
"2382","Bidens aristosa","Bidens aristosa"
"2383","Carex bicknellii","Carex bicknellii"
"2384","Scirpus pendulus","Scirpus pendulus"
"2385","Juncus dudleyi","Juncus dudleyi"
"2386","Carex hystericina","Carex hystericina"
"2387","Crataegus mollis","Crataegus mollis"
"2388","Helianthus pauciflorus","Helianthus pauciflorus"
"2389","Hieracium longipilum","Hieracium longipilum"
"2390","Cyperus esculentus","Cyperus esculentus"
"2391","Helianthus mollis","Helianthus mollis"
"2392","Solidago nemoralis","Solidago nemoralis"
"2393","Pascopyrum smithii","Pascopyrum smithii"
"2394","Zizia aurea","Zizia aurea"
"2395","Quercus macrocarpa","Quercus macrocarpa"
"2396","Astragalus lotiflorus","Astragalus lotiflorus"
"2397","Symphyotrichum drummondii","Symphyotrichum drummondii"
"2398","Fraxinus americana/pennsylvanica","Fraxinus americana/pennsylvanica"
"2399","Euonymus atropurpureus","Euonymus atropurpureus"
"2400","Gymnocladus dioicus","Gymnocladus dioicus"
"2401","Polygonum scandens","Polygonum scandens"
"2402","Triosteum perfoliatum","Triosteum perfoliatum"
"2403","Geranium molle","Geranium molle"
"2404","Chenopodium pallescens","Chenopodium pallescens"
"2405","Chenopodium berlandieri","Chenopodium berlandieri"
"2406","Lobularia maritima","Lobularia maritima"
"2407","Corydalis micrantha","Corydalis micrantha"
"2408","Erysimum marschallianum","Erysimum marschallianum"
"2409","Chenopodium standleyanum","Chenopodium standleyanum"
"2410","Vernonia baldwinii","Vernonia baldwinii"
"2411","Chenopodium simplex","Chenopodium simplex"
"2412","Cooperia drummondii","Cooperia drummondii"
"2413","Oligoneuron rigidum","Oligoneuron rigidum"
"2414","Ceanothus americanus","Ceanothus americanus"
"2415","Ratibida pinnata","Ratibida pinnata"
"2416","Glycyrrhiza lepidota","Glycyrrhiza lepidota"
"2417","Salvia urticifolia","Salvia urticifolia"
"2418","Eclipta prostrata","Eclipta prostrata"
"2419","Cyperus virens","Cyperus virens"
"2420","Mecardonia acuminata","Mecardonia acuminata"
"2421","Eryngium prostratum","Eryngium prostratum"
"2422","Carex microrhyncha","Carex microrhyncha"
"2423","Sesbania herbacea","Sesbania herbacea"
"2424","Hydrangea quercifolia","Hydrangea quercifolia"
"2425","Glyceria declinata","Glyceria declinata"
"2426","Talinum paniculatum","Talinum paniculatum"
"2427","Carex abscondita","Carex abscondita"
"2428","Gaga kaulfussii","Gaga kaulfussii"
"2429","Cuphea carthagenensis","Cuphea carthagenensis"
"2430","Amaranthus greggii","Amaranthus greggii"
"2431","Nyssa aquatica","Nyssa aquatica"
"2432","Panicum dichotomiflorum","Panicum dichotomiflorum"
"2433","Samolus valerandi","Samolus valerandi"
"2434","Rhododendron canescens","Rhododendron canescens"
"2435","Macrothelypteris torresiana","Macrothelypteris torresiana"
"2436","Botrychium lunarioides","Botrychium lunarioides"
"2437","Adiantum capillus-veneris","Adiantum capillus-veneris"
"2438","Mimulus floribundus","Mimulus floribundus"
"2439","Castanea pumila","Castanea pumila"
"2440","Elaeagnus pungens","Elaeagnus pungens"
"2441","Dichanthelium boscii","Dichanthelium boscii"
"2442","Rhododendron viscosum","Rhododendron viscosum"
"2443","Scleria triglomerata","Scleria triglomerata"
"2444","Deschampsia flexuosa","Deschampsia flexuosa"
"2445","Anemone lancifolia","Anemone lancifolia"
"2446","Polygonum hydropiper","Polygonum hydropiper"
"2447","Ribes cynosbati","Ribes cynosbati"
"2448","Silene stellata","Silene stellata"
"2449","Hieracium greenii","Hieracium greenii"
"2450","Bromus nottowayanus","Bromus nottowayanus"
"2451","Gillenia trifoliata","Gillenia trifoliata"
"2452","Solidago bicolor","Solidago bicolor"
"2453","Coreopsis major","Coreopsis major"
"2454","Galium latifolium","Galium latifolium"
"2455","Osmunda claytoniana","Osmunda claytoniana"
"2456","Hieracium paniculatum","Hieracium paniculatum"
"2457","Pycnanthemum incanum","Pycnanthemum incanum"
"2458","Ilex verticillata","Ilex verticillata"
"2459","Lycopodium digitatum","Lycopodium digitatum"
"2460","Asclepias variegata","Asclepias variegata"
"2461","Packera obovata","Packera obovata"
"2462","Dryopteris goldiana","Dryopteris goldiana"
"2463","Lappula occidentalis","Lappula occidentalis"
"2464","Oenothera albicaulis","Oenothera albicaulis"
"2465","Pleuraphis jamesii","Pleuraphis jamesii"
"2466","Atriplex canescens","Atriplex canescens"
"2467","Descurainia sophia","Descurainia sophia"
"2468","Phacelia ivesiana","Phacelia ivesiana"
"2469","Sphaeralcea parvifolia","Sphaeralcea parvifolia"
"2470","Elymus elymoides","Elymus elymoides"
"2471","Mentzelia albicaulis","Mentzelia albicaulis"
"2472","Chaetopappa ericoides","Chaetopappa ericoides"
"2473","Packera multilobata","Packera multilobata"
"2474","Erodium cicutarium","Erodium cicutarium"
"2475","Tragopogon dubius","Tragopogon dubius"
"2476","Chaenactis stevioides","Chaenactis stevioides"
"2477","Pediocactus simpsonii","Pediocactus simpsonii"
"2478","Ephedra viridis","Ephedra viridis"
"2479","Ephedra torreyana","Ephedra torreyana"
"2480","Cymopterus acaulis","Cymopterus acaulis"
"2481","Ipomopsis pumila","Ipomopsis pumila"
"2482","Purshia stansburiana","Purshia stansburiana"
"2483","Streptanthus cordatus","Streptanthus cordatus"
"2484","Ipomopsis congesta","Ipomopsis congesta"
"2485","Phoradendron juniperinum","Phoradendron juniperinum"
"2486","Echinocereus triglochidiatus","Echinocereus triglochidiatus"
"2487","Physaria acutifolia","Physaria acutifolia"
"2488","Streptanthus cordatus","Streptanthus cordatus"
"2489","Arceuthobium divaricatum","Arceuthobium divaricatum"
"2490","Pinus edulis","Pinus edulis"
"2491","Cercocarpus montanus","Cercocarpus montanus"
"2492","Cleome lutea","Cleome lutea"
"2493","Vulpia octoflora","Vulpia octoflora"
"2494","Salsola tragus","Salsola tragus"
"2495","Oenothera pallida","Oenothera pallida"
"2496","Sporobolus contractus","Sporobolus contractus"
"2497","Abronia fragrans","Abronia fragrans"
"2498","Malacothrix sonchoides","Malacothrix sonchoides"
"2499","Ipomopsis longiflora","Ipomopsis longiflora"
"2500","Stephanomeria exigua","Stephanomeria exigua"
"2501","Helianthus petiolaris","Helianthus petiolaris"
"2502","Streptanthella longirostris","Streptanthella longirostris"
"2503","Orobanche ludoviciana","Orobanche ludoviciana"
"2504","Agropyron cristatum","Agropyron cristatum"
"2505","Calochortus nuttallii","Calochortus nuttallii"
"2506","Orobanche fasciculata","Orobanche fasciculata"
"2507","Aliciella hutchinsifolia","Aliciella hutchinsifolia"
"2508","Phlox longifolia","Phlox longifolia"
"2509","Poa fendleriana","Poa fendleriana"
"2510","Lepidium montanum","Lepidium montanum"
"2511","Gutierrezia microcephala","Gutierrezia microcephala"
"2512","Muhlenbergia pungens","Muhlenbergia pungens"
"2513","Townsendia incana","Townsendia incana"
"2514","Mahonia fremontii","Mahonia fremontii"
"2515","Artemisia frigida","Artemisia frigida"
"2516","Larix occidentalis","Larix occidentalis"
"2517","Townsendia jonesii","Townsendia jonesii"
"2518","Oenothera acutissima","Oenothera acutissima"
"2519","Delphinium scaposum","Delphinium scaposum"
"2520","Chrysothamnus viscidiflorus","Chrysothamnus viscidiflorus"
"2521","Sisymbrium altissimum","Sisymbrium altissimum"
"2522","Arenaria aculeata","Arenaria aculeata"
"2523","Giliastrum incisum","Giliastrum incisum"
"2524","Machaeranthera canescens","Machaeranthera canescens"
"2525","Corydalis aurea","Corydalis aurea"
"2526","Eriogonum corymbosum","Eriogonum corymbosum"
"2527","Eriogonum corymbosum","Eriogonum corymbosum"
"2528","Cryptantha flava","Cryptantha flava"
"2529","Eriogonum ovalifolium","Eriogonum ovalifolium"
"2530","Lupinus brevicaulis","Lupinus brevicaulis"
"2531","Solanum triflorum","Solanum triflorum"
"2532","Camissonia brevipes","Camissonia brevipes"
"2533","Ipomoea longifolia","Ipomoea longifolia"
"2534","Erigeron bellidiastrum","Erigeron bellidiastrum"
"2535","Sporobolus flexuosus","Sporobolus flexuosus"
"2536","Physaria chambersii","Physaria chambersii"
"2537","Purshia tridentata","Purshia tridentata"
"2538","Ceratocephala testiculata","Ceratocephala testiculata"
"2539","Phlox hoodii","Phlox hoodii"
"2540","Marrubium vulgare","Marrubium vulgare"
"2541","Arabis pulchra","Arabis pulchra"
"2542","Schoenocrambe linifolia","Schoenocrambe linifolia"
"2543","Asclepias cryptoceras","Asclepias cryptoceras"
"2544","Mirabilis multiflora","Mirabilis multiflora"
"2545","Phaseolus acutifolius","Phaseolus acutifolius"
"2546","Bromus rubens","Bromus rubens"
"2547","Hedysarum boreale","Hedysarum boreale"
"2548","Petradoria pumila","Petradoria pumila"
"2549","Lappula occidentalis","Lappula occidentalis"
"2550","Ephedra cutleri","Ephedra cutleri"
"2551","Arabis puberula","Arabis puberula"
"2552","Abies lasiocarpa","Abies lasiocarpa"
"2553","Campanula rotundifolia","Campanula rotundifolia"
"2554","Picea engelmannii","Picea engelmannii"
"2555","Abies lasiocarpa","Abies lasiocarpa"
"2556","Fragaria virginiana","Fragaria virginiana"
"2557","Vaccinium myrtillus/scoparium","Vaccinium myrtillus/scoparium"
"2558","Carex rupestris","Carex rupestris"
"2559","Penstemon whippleanus","Penstemon whippleanus"
"2560","Pinus contorta","Pinus contorta"
"2561","Pinus contorta","Pinus contorta"
"2562","Selaginella densa","Selaginella densa"
"2563","Achillea millefolium","Achillea millefolium"
"2564","Chamerion angustifolium","Chamerion angustifolium"
"2565","Thermopsis divaricarpa","Thermopsis divaricarpa"
"2566","Pedicularis racemosa","Pedicularis racemosa"
"2567","Campanula parryi","Campanula parryi"
"2568","Juniperus communis","Juniperus communis"
"2569","Arabis drummondii","Arabis drummondii"
"2570","Poa cusickii","Poa cusickii"
"2571","Erigeron peregrinus","Erigeron peregrinus"
"2572","Arnica cordifolia","Arnica cordifolia"
"2573","Hieracium gracile","Hieracium gracile"
"2574","Pedicularis racemosa","Pedicularis racemosa"
"2575","Ribes montigenum","Ribes montigenum"
"2576","Noccaea fendleri","Noccaea fendleri"
"2577","Trifolium dasyphyllum","Trifolium dasyphyllum"
"2578","Antennaria umbrinella","Antennaria umbrinella"
"2579","Arnica rydbergii","Arnica rydbergii"
"2580","Rosa woodsii","Rosa woodsii"
"2581","Oreochrysum parryi","Oreochrysum parryi"
"2582","Pinus flexilis","Pinus flexilis"
"2583","Lonicera involucrata","Lonicera involucrata"
"2584","Lonicera involucrata","Lonicera involucrata"
"2585","Sambucus racemosa","Sambucus racemosa"
"2586","Helictotrichon mortonianum","Helictotrichon mortonianum"
"2587","Heuchera parvifolia","Heuchera parvifolia"
"2588","Potentilla ovina","Potentilla ovina"
"2589","Draba fladnizensis","Draba fladnizensis"
"2590","Gentianopsis barbellata","Gentianopsis barbellata"
"2591","Primula angustifolia","Primula angustifolia"
"2592","Erigeron compositus","Erigeron compositus"
"2593","Poa glauca","Poa glauca"
"2594","Allium geyeri","Allium geyeri"
"2595","Arenaria fendleri","Arenaria fendleri"
"2596","Artemisia scopulorum","Artemisia scopulorum"
"2597","Draba streptobrachia","Draba streptobrachia"
"2598","Eritrichium nanum","Eritrichium nanum"
"2599","Geum rossii","Geum rossii"
"2600","Lloydia serotina","Lloydia serotina"
"2601","Oreoxis alpina","Oreoxis alpina"
"2602","Paronychia pulvinata","Paronychia pulvinata"
"2603","Phlox pulvinata","Phlox pulvinata"
"2604","Polygonum bistortoides","Polygonum bistortoides"
"2605","Poa lettermanii","Poa lettermanii"
"2606","Silene acaulis","Silene acaulis"
"2607","Tetraneuris acaulis","Tetraneuris acaulis"
"2608","Tonestus pygmaeus","Tonestus pygmaeus"
"2609","Artemisia pattersonii","Artemisia pattersonii"
"2610","Castilleja puberula","Castilleja puberula"
"2611","Cerastium arvense","Cerastium arvense"
"2612","Packera cana","Packera cana"
"2613","Chionophila jamesii","Chionophila jamesii"
"2614","Draba streptocarpa","Draba streptocarpa"
"2615","Eritrichium nanum","Eritrichium nanum"
"2616","Geum rossii","Geum rossii"
"2617","Oreoxis alpina","Oreoxis alpina"
"2618","Castilleja occidentalis","Castilleja occidentalis"
"2619","Erysimum capitatum","Erysimum capitatum"
"2620","Androsace septentrionalis","Androsace septentrionalis"
"2621","Draba breweri","Draba breweri"
"2622","Festuca brachyphylla","Festuca brachyphylla"
"2623","Erigeron simplex","Erigeron simplex"
"2624","Gentianella amarella","Gentianella amarella"
"2625","Danthonia intermedia","Danthonia intermedia"
"2626","Mertensia lanceolata","Mertensia lanceolata"
"2627","Trifolium parryi","Trifolium parryi"
"2628","Potentilla nivea/uniflora","Potentilla nivea/uniflora"
"2629","Pedicularis parryi","Pedicularis parryi"
"2630","Minuartia rubella","Minuartia rubella"
"2631","Potentilla diversifolia","Potentilla diversifolia"
"2632","Ranunculus adoneus","Ranunculus adoneus"
"2633","Juncus drummondii","Juncus drummondii"
"2634","Castilleja rhexiifolia","Castilleja rhexiifolia"
"2635","Carex geyeri","Carex geyeri"
