"","x"
"826","Equisetum arvense"
"827","Comarum palustre"
"828","Eriophorum scheuchzeri"
"829","Eriophorum russeolum"
"830","Equisetum scirpoides"
"831","Salix barclayi"
"832","Vaccaria hispanica"
"833","Calamagrostis stricta"
"834","Asclepias verticillata"
"835","Chamaecrista fasciculata"
"836","Erigeron modestus"
"837","Opuntia sp."
"838","Quercus stellata"
"839","Sabatia campestris"
"840","Asclepias stenophylla"
"841","Asclepias tuberosa"
"842","Lespedeza stuevei"
"843","Lechea tenuifolia"
"844","Opuntia macrorhiza"
"845","Plantago virginica"
"846","Asclepias asperula"
"847","Chaetopappa asteroides"
"848","Gaillardia aestivalis"
"849","Gymnopogon ambiguus"
"850","Indigofera miniata"
"851","Lechea mucronata"
"852","Lithospermum incisum"
"853","Quercus marilandica"
"854","Solidago spp."
"855","Bassia scoparia"
"856","Bouteloua curtipendula"
"857","Bulbostylis sp."
"858","Croton glandulosus"
"859","Dalea purpurea"
"860","Dichanthelium acuminatum"
"861","Dichanthelium sphaerocarpon"
"862","Diodia teres"
"863","Liatris sp."
"864","Neptunia lutea"
"865","Panicum hallii"
"866","Scleria ciliata"
"867","Schizachyrium scoparium"
"868","Sorghastrum nutans"
"869","Symphyotrichum patens"
"870","Andropogon ternarius"
"871","Bouteloua hirsuta"
"872","Dichanthelium linearifolium"
"873","Fimbristylis puberula"
"874","Linum sp."
"875","Linum sulcatum"
"876","Symphyotrichum ericoides"
"877","Asclepias viridiflora"
"878","Dichanthelium oligosanthes"
"879","Erigeron strigosus"
"880","Liatris mucronata"
"881","Hypericum drummondii"
"882","Linum medium"
"883","Liatris punctata"
"884","Plantago rhodosperma"
"885","Pyrrhopappus grandiflorus"
"886","Bothriochloa ischaemum"
"887","Bothriochloa sp."
"888","Croton spp."
"889","Asclepias viridis"
"890","Lespedeza virginica"
"891","Panicum virgatum"
"892","Polygala incarnata"
"893","Coelorachis cylindrica"
"894","Galactia volubilis"
"895","Helianthemum georgianum"
"896","Andropogon gerardii"
"897","Calylophus berlandieri"
"898","Juncus interior"
"899","Ambrosia psilostachya"
"900","Verbena halei"
"901","Artemisia ludoviciana"
"902","Antennaria parlinii"
"903","Rudbeckia hirta"
"904","Callirhoe involucrata"
"905","Polygala verticillata"
"906","Rhynchospora harveyi"
"907","Acalypha monococca"
"908","Vulpia octoflora"
"909","Euphorbiaceae sp."
"910","Celtis laevigata"
"911","Cyclospermum leptophyllum"
"912","Geranium carolinianum"
"913","Nuttallanthus texanus"
"914","Houstonia pusilla"
"915","Spermolepis echinata"
"916","Viola bicolor"
"917","Digitaria californica"
"918","Juncus marginatus"
"919","Monarda sp."
"920","Allium canadense"
"921","Oenothera laciniata"
"922","Euphorbia spathulata"
"923","Asclepias amplexicaulis"
"924","Gypsoplaca macrophylla"
"925","Cirsium undulatum"
"926","Dalea aurea"
"927","Cocculus carolinus"
"928","Cuscuta sp."
"929","Solanum dimidiatum"
"930","Cyperus spp."
"931","Xanthisma texanum"
"932","Bothriochloa laguroides"
"933","Penstemon laxiflorus"
"934","Chrysopsis pilosa"
"935","Physalis cinerascens"
"936","Stenaria nigricans"
