"","x"
"1971","Chamaesyce articulata"
"1972","Eugenia axillaris"
"1973","Bromeliaceae sp."
"1974","Colubrina sp."
"1975","Erythroxylum rotundifolium"
"1976","Commelina diffusa"
"1977","Psychilis krugii"
"1978","Sida jamaicensis"
"1979","Turnera diffusa"
"1980","Ficus citrifolia"
"1981","Galactia dubia"
"1982","Jasminum fluminense"
"1983","Reynosia guama"
"1984","Ayenia insulicola"
"1985","Bourreria virgata"
"1986","Corchorus hirtus"
"1987","Sideroxylon salicifolium"
"1988","Capparis sp."
"1989","Passiflora bilobata"
"1990","Chromolaena sinuata"
"1991","Piptocoma acevedoi"
"1992","Pilophorus robustus"
"1993","Prestonia agglutinata"
"1994","Wedelia fruticosa"
"1995","Cactaceae sp."
"1996","Leucothrinax morrisii"
"1997","Swietenia mahagoni"
"1998","Bastardia viscosa"
"1999","Machaonia portoricensis"
"2000","Opuntia triacantha"
"2001","Cordia sp."
"2002","Manihot esculenta"
"2003","Malvaceae sp."
"2004","Jacquemontia solanifolia"
"2005","Paspalum caespitosum"
"2006","Pseudabutilon umbellatum"
"2007","Opuntia repens"
"2008","Erythroxylum brevipes"
"2009","Rivina humilis"
"2010","Sida spp."
"2011","Wissadula amplissima"
"2012","Ipomoea nil"
"2013","Melochia tomentosa"
"2014","Helianthus annuus"
"2015","Matelea maritima"
"2016","Lantana reticulata"
"2017","Cordia spp."
"2018","Lantana camara"
"2019","Myrcianthes fragrans"
"2020","Hypotrachyna thysanota"
"2021","Jatropha hernandiifolia"
"2022","Duranta erecta"
"2023","Eugenia monticola"
"2024","Savia sessiliflora"
"2025","Consolea rubescens"
"2026","Randia portoricensis"
"2027","Spermacoce confusa"
"2028","Opuntia dillenii"
"2029","Corchorus hirsutus"
"2030","Forestiera segregata"
"2031","Acacia farnesiana"
"2032","Pseudanamomis umbellulifera"
"2033","Ruellia tuberosa"
"2034","Prosopis sp."
"2035","Canna indica"
"2036","Prosopis spp."
"2037","Tamarindus indica"
"2038","Casearia spp."
"2039","Senna siamea"
"2040","Centrosema spp."
"2041","Cissus obovata"
"2042","Cordia rupicola"
"2043","Ximenia americana"
"2044","Polygala penaea"
"2045","Thouinia striata"
"2046","Oplonia spp."
"2047","Krameria ixine"
"2048","Convolvulaceae spp."
"2049","Cynanchum lineare"
"2050","Chamaesyce thymifolia"
"2051","Convolvulus spp."
"2052","Guapira fragrans"
"2053","Phoradendron spp."
"2054","Scopelophila ligulata"
"2055","Apocynaceae spp."
"2056","Phoradendron anceps"
"2057","Jacquiniella sp."
"2058","Guapira discolor"
"2059","Rondeletia inermis"
"2060","Sida abutifolia"
"2061","Colubrina verrucosa"
"2062","Diodia apiculata"
"2063","Rauvolfia viridis"
"2064","Coenogonium missouriense"
"2065","Tillandsia spp."
"2066","Melocactus intortus"
"2067","Malpighiaceae spp."
"2068","Sansevieria spp."
"2069","Mitracarpus sp."
"2070","Sida sp."
"2071","Achyranthes aspera"
"2072","Poitea florida"
"2073","Poitea sp."
"2074","Poitea paucifolia"
"2075","Hibiscus sp."
"2076","Guapira obtusata"
"2077","Wedelia lanceolata"
"2078","Paspalum paniculatum"
"2079","Ocimum campechianum"
"2080","Sida glabra"
"2081","Porophyllum leiocarpum"
"2082","Salvia serotina"
"2083","Zanthoxylum sp."
"2084","Euphorbia petiolaris"
"2085","Abrus precatorius"
"2086","Adelia ricinella"
"2087","Senna uniflora"
"2088","Catesbaea parviflora"
"2089","Rorippa indica"
"2090","Citharexylum sp."
"2091","Rauvolfia nitida"
"2092","Ichnanthus pallens"
"2093","Talinum triangulare"
"2094","Crotalaria trichotoma"
"2095","Abutilon hirtum"
"2096","Jatropha gossypiifolia"
"2097","Spigelia anthelmia"
"2098","Jatropha curcas"
"2099","Cactaceae spp."
"2100","Justicia spp."
"2101","Erythroxylum rufum"
"2102","Crotalaria verrucosa"
"2103","Setaria spp."
"2104","Tephrosia senna"
"2105","Fabaceae spp."
"2106","Chrysophyllum argenteum"
"2107","Lepidium virginicum"
"2108","Crotalaria sp."
"2109","Cinnamomum verum"
"2110","Sporobolus indicus"
"2111","Casearia sp."
"2112","Bunchosia glandulosa"
"2113","Bourreria spp."
"2114","Cissus verticillata"
"2115","Amaranthus dubius"
"2116","Anemone quinquefolia"
"2117","Rubus hispidus"
"2118","Gaylussacia baccata"
"2119","Forsythia ovata"
"2120","Vaccinium spp."
"2121","Rubus allegheniensis"
"2122","Melampyrum lineare"
"2123","Polygala paucifolia"
"2124","Hieracium scabrum"
"2125","Corylus cornuta"
"2126","Corydalis sp."
"2127","Carex pensylvanica"
"2128","Vitis aestivalis"
"2129","Zizia sp."
"2130","Erigeron philadelphicus"
"2131","Prenanthes trifoliolata"
"2132","Smilax herbacea"
"2133","Brachyelytrum aristosum"
"2134","Corylus americana"
"2135","Frangula alnus"
"2136","Prunus virginiana"
"2137","Crataegus spp."
"2138","Galium asprellum"
"2139","Rubus vermontanus"
"2140","Carya spp."
"2141","Vitis labrusca"
"2142","Amelanchier spp."
"2143","Amaranthus arenicola"
"2144","Chelidonium majus"
"2145","Glyceria sp."
"2146","Erechtites hieraciifolia"
"2147","Oryzopsis sp."
"2148","Lysimachia punctata"
"2149","Cornus sericea"
"2150","Eurybia sp."
"2151","Bartonia virginica"
"2152","Cornus racemosa"
"2153","Robinia hispida"
"2154","Dichanthelium latifolium"
"2155","Amaranthus albus"
"2156","Aralia sp."
"2157","Symphyotrichum racemosum"
"2158","Viola sagittata"
"2159","Gaylussacia frondosa"
"2160","Photinia floribunda"
"2161","Photinia melanocarpa"
"2162","Photinia pyrifolia"
"2163","Comptonia peregrina"
"2164","Apocynum androsaemifolium"
"2165","Lysimachia terrestris"
"2166","Rubus setosus"
"2167","Cystopteris sp."
"2168","Oligoneuron sp."
"2169","Lysimachia vulgaris"
"2170","Fragaria vesca"
"2171","Danthonia spicata"
"2172","Celastrus sp."
"2173","Rhamnus cathartica"
"2174","Dryopteris ×separabilis"
"2175","Lonicera tatarica"
"2176","Solidago rugosa"
"2177","Chamaedaphne sp."
"2178","Sesamum orientale"
"2179","Epigaea sp."
"2180","Rhexia sp."
"2181","Polygonum arifolium"
"2182","Polygonum sagittatum"
"2183","Carex echinata"
"2184","Osmunda regalis"
"2185","Phragmites australis"
"2186","Spiraea alba"
"2187","Alnus serrulata"
"2188","Scirpus atrovirens"
"2189","Carex debilis"
"2190","Thelypteris palustris"
"2191","Cardamine pensylvanica"
"2192","Scutellaria lateriflora"
"2193","Ludwigia palustris"
"2194","Scirpus sp."
"2195","Dryopteris ×boottii"
"2196","Toxicodendron vernix"
"2197","Symphyotrichum lanceolatum"
"2198","Epilobium ciliatum"
"2199","Symphyotrichum lanceolatum"
"2200","Carex intumescens"
"2201","Alnus sp."
"2202","Eupatorium perfoliatum"
"2203","Solidago uliginosa"
"2204","Lythrum salicaria"
"2205","Lycopus americanus"
"2206","Eupatorium perfoliatum"
"2207","Mimulus ringens"
"2208","Solidago gigantea"
"2209","Lycopus uniflorus"
"2210","Moneses sp."
"2211","Epilobium coloratum"
"2212","Tiarella sp."
"2213","Carex atlantica"
"2214","Viola labradorica"
"2215","Carex folliculata"
"2216","Carex lurida"
"2217","Spiraea alba"
"2218","Veronica officinalis"
"2219","Panax trifolius"
"2220","Carex trisperma"
"2221","Tiarella cordifolia"
"2222","Rubus semisetosus"
"2223","Poa alsodes"
"2224","Carex digitalis"
"2225","Tilia cordata"
"2226","Symplocarpus foetidus"
"2227","Campanula glomerata"
"2228","Iris versicolor"
"2229","Luzula echinata"
"2230","Thalictrum dioicum"
"2231","Hepatica sp."
"2232","Carex gracillima"
"2233","Luzula multiflora"
"2234","Symphyotrichum undulatum"
"2235","Hepatica nobilis"
"2236","Thalictrum pubescens"
"2237","Streptopus lanceolatus"
"2238","Quercus ×rehderi"
"2239","Spiraea tomentosa"
"2240","Lysimachia sp."
"2241","Triadenum virginicum"
"2242","Viburnum recognitum"
"2243","Rubus recurvicaulis"
"2244","Viburnum lantana"
"2245","Dichanthelium acuminatum"
"2246","Asclepias incarnata"
"2247","Carex debilis"
"2248","Rubus allegheniensis"
"2249","Euonymus alatus"
"2250","Malus pumila"
"2251","Malus sp."
"2252","Polemonium caeruleum"
"2253","Drosera rotundifolia"
"2254","Hydrocotyle americana"
"2255","Dulichium arundinaceum"
"2256","Carex ovalis"
"2257","Carex utriculata"
"2258","Drosera sp."
"2259","Carex canescens"
"2260","Leersia oryzoides"
"2261","Scirpus cyperinus"
"2262","Dichanthelium dichotomum"
"2263","Glyceria melicaria"
"2264","Lycopodiaceae sp."
"2265","Carex crinita"
"2266","Carex debilis"
"2267","Rubus pubescens"
"2268","Veratrum viride"
"2269","Viola cucullata"
"2270","Epipactis helleborine"
"2271","Toxicodendron radicans"
"2272","Selaginella sp."
"2273","Rosa palustris"
"2274","Rosa carolina"
"2275","Rosa carolina"
"2276","Carex leptalea"
"2277","Packera aurea"
"2278","Artemisia tridentata"
"2279","Carex pallescens"
"2280","Proserpinaca sp."
"2281","Euonymus alatus"
"2282","Pastinaca sativa"
"2283","Phacelia viscida"
"2284","Rubus idaeus"
"2285","Lolium perenne"
"2286","Digitalis purpurea"
"2287","Polystichum sp."
"2288","Digitalis lanata"
"2289","Spiraea alba"
"2290","Galium trifidum"
"2291","Primulaceae sp."
"2292","Ligustrum obtusifolium"
"2293","Photinia sp."
"2294","Agrostis hyemalis"
"2295","Carex stricta"
"2296","Lycopus virginicus"
"2297","Dichanthelium boreale"
"2298","Carex communis"
"2299","Scutellaria lateriflora"
"2300","Kobresia simpliciuscula"
"2301","Carex macrochaeta"
"2302","Rumex arcticus"
"2303","Dodecatheon frigidum"
"2304","Poa arctica"
"2305","Salix pulchra/richardsonii"
"2306","Carex microchaeta"
"2307","Platanthera obtusata"
"2308","Moneses uniflora"
"2309","Juncus castaneus"
"2310","Juncus triglumis"
"2311","Empetrum nigrum"
"2312","Andromeda polifolia"
"2313","Carex membranacea"
"2314","Salix reticulata"
"2315","Saxifraga nelsoniana"
"2316","Carex loliacea"
"2317","Ranunculus hyperboreus"
"2318","Dodecatheon sp."
"2319","Trientalis europaea"
"2320","Antennaria friesiana"
"2321","Antennaria rosea"
"2322","Taraxacum phymatocarpum"
"2323","Tofieldia coccinea"
"2324","Salix polaris"
"2325","Carex capillaris"
"2326","Carex brunnescens"
"2327","Adoxa moschatellina"
"2328","Cardamine pratensis"
"2329","Salix pseudomyrsinites"
"2330","Chrysosplenium tetrandrum"
"2331","Artemisia tilesii"
"2332","Artemisia alaskana"
"2333","Rumex acetosa"
"2334","Cirsium horridulum"
"2335","Euphorbia pubentissima"
"2336","Helianthemum corymbosum"
"2337","Hieracium gronovii"
"2338","Mimosa quadrivalvis"
"2339","Seymeria cassioides"
"2340","Cnidoscolus urens"
"2341","Asimina angustifolia"
"2342","Eupatorium glaucescens"
"2343","Eupatorium leucolepis"
"2344","Helianthella californica"
"2345","Rhynchospora grayi"
"2346","Andropogon spp."
"2347","Crotalaria rotundifolia"
"2348","Gamochaeta sp."
"2349","Houstonia procumbens"
"2350","Piriqueta cistoides"
"2351","Agalinis spp."
"2352","Desmodium lineatum"
"2353","Pityopsis graminifolia"
"2354","Polygala grandiflora"
"2355","Rhynchospora sp."
"2356","Celtis tenuifolia"
"2357","Desmodium floridanum"
"2358","Dyschoriste oblongifolia"
"2359","Pityopsis sp."
"2360","Tephrosia spicata"
"2361","Vernonia angustifolia"
"2362","Dichanthelium strigosum"
"2363","Elephantopus elatus"
"2364","Eupatorium hyssopifolium"
"2365","Lactuca graminifolia"
"2366","Paspalum notatum"
"2367","Dichanthelium aciculare"
"2368","Dichaetophora sp."
"2369","Dichanthelium ovale"
"2370","Eupatorium sp."
"2371","Hieracium gracile"
"2372","Pityopsis aspera"
"2373","Centrosema sp."
"2374","Chamaesyce hyssopifolia"
"2375","Cyperus filiformis"
"2376","Salvia sp."
"2377","Salvia lyrata"
"2378","Cistaceae sp."
"2379","Asclepias michauxii"
"2380","Oxalis albicans"
"2381","Symphyotrichum dumosum"
"2382","Tragia urens"
"2383","Oxalis corniculata"
"2384","Pediomelum canescens"
"2385","Dendrophthora flagelliformis"
"2386","Erechtites glomerata"
"2387","Asclepiadaceae sp."
"2388","Chrysopsis sp."
"2389","Lactuca spp."
"2390","Axonopus fissifolius"
"2391","Lechea minor"
"2392","Tephrosia florida"
"2393","Cymopterus planosus"
"2394","Symphyotrichum concolor"
"2395","Symphyotrichum lanceolatum"
"2396","Diodia teres"
"2397","Tephrosia sp."
"2398","Wahlenbergia marginata"
"2399","Vaccinium myrsinites"
"2400","Galactia regularis"
"2401","Cnidoscolus urens"
"2402","Lactuca floridana"
"2403","Rumex hastatulus"
"2404","Cyperus filicinus"
"2405","Acacia greggii"
"2406","Oxalis spp."
"2407","Solanum campechiense"
"2408","Pityopsis spp."
"2409","Conyza bonariensis"
"2410","Scutellaria integrifolia"
"2411","Carphephorus sp."
"2412","Asplenium ×herb-wagneri"
"2413","Sabal causiarum"
"2414","Erigeron spp."
"2415","Asclepias humistrata"
"2416","Prunus umbellata"
"2417","Schizachyrium sp."
"2418","Pinus elliottii"
"2419","Croptilon divaricatum"
"2420","Dichanthelium consanguineum"
"2421","Machaeranthera asteroides"
"2422","Puccinellia lemmonii"
"2423","Townsendia grandiflora"
"2424","Tradescantia hirsutiflora"
"2425","Tradescantia sp."
"2426","Aristida beyrichiana"
"2427","Astragalus michauxii"
"2428","Gamochaeta coarctata"
"2429","Saccharum sp."
"2430","Galactia erecta"
"2431","Asclepias spp."
"2432","Desmodium marilandicum"
"2433","Paspalum spp."
"2434","Rumex spp."
"2435","Scutellaria spp."
"2436","Heterotheca sp."
"2437","Sorghastrum sp."
"2438","Agalinis sp."
"2439","Scutellaria multiglandulosa"
"2440","Andropogon capillipes"
"2441","Antennaria dimorpha"
"2442","Scleria spp."
"2443","Sericocarpus tortifolius"
"2444","Helianthemum carolinianum"
"2445","Chrysopsis mariana"
"2446","Commelinaceae sp."
"2447","Iridaceae sp."
"2448","Sisyrinchium xerophyllum"
"2449","Stylodon carneus"
"2450","Chrysopsis gossypina"
"2451","Eupatorium rotundifolium"
"2452","Salvia spp."
"2453","Eupatorium mohrii"
"2454","Melilotus indicus"
"2455","Ionactis sp."
"2456","Commelina erecta"
"2457","Freesia laxa"
"2458","Eupatorium compositifolium"
"2459","Hibiscus grandiflorus"
"2460","Jacquemontia tamnifolia"
"2461","Dichanthium spp."
"2462","Elephantopus sp."
"2463","Smilax spp."
"2464","Toxicodendron spp."
"2465","Galium mollugo"
"2466","Gymnopogon sp."
"2467","Quercus margaretta"
"2468","Gaura filipes"
"2469","Galactia mollis"
"2470","Sorghastrum secundum"
"2471","Galium obtusum"
"2472","Verbesina aristata"
"2473","Eupatorium album"
"2474","Ionactis linariifolius"
"2475","Polypremum procumbens"
"2476","Symphyotrichum adnatum"
"2477","Carex albolutescens"
"2478","Lespedeza angustifolia"
"2479","Rhynchosia reniformis"
"2480","Tragia smallii"
"2481","Quercus incana"
"2482","Lespedeza hirta"
"2483","Ageratina aromatica"
"2484","Helianthus angustifolius"
"2485","Dichanthelium commutatum"
"2486","Rhynchospora ciliaris"
"2487","Strophostyles umbellata"
"2488","Ageratina jucunda"
"2489","Desmodium incanum"
"2490","Vaccinium darrowii"
"2491","Eupatorium semiserratum"
"2492","Eupatorium rotundifolium"
"2493","Croton argyranthemus"
"2494","Liatris elegans"
"2495","Silphium asteriscus"
"2496","Desmodium strictum"
"2497","Hyptis alata"
"2498","Rhynchosia difformis"
"2499","Stillingia sylvatica"
"2500","Triadenum walteri"
"2501","Vernicia fordii"
"2502","Dalea carnea"
"2503","Liatris tenuifolia"
"2504","Gaylussacia dumosa"
"2505","Dahlia pinnata"
"2506","Rhynchospora spp."
"2507","Stylisma humistrata"
"2508","Stellaria humifusa"
"2509","Rhynchosia tomentosa"
"2510","Clitoria sp."
"2511","Crataegus flava"
"2512","Axonopus furcatus"
"2513","Spiraea prunifolia"
"2514","Viola ×primulifolia"
"2515","Viola septemloba"
"2516","Rhynchospora elliottii"
"2517","Spiranthes praecox"
"2518","Schizachyrium tenerum"
"2519","Habenaria quinqueseta"
"2520","Manfreda virginica"
"2521","Physalis walteri"
"2522","Saccharum alopecuroides"
"2523","Habenaria sp."
"2524","Muhlenbergia capillaris"
"2525","Crotalaria purshii"
"2526","Hypoxis wrightii"
"2527","Stephanomeria virgata"
"2528","Anthaenantia villosa"
"2529","Rhynchospora divergens"
"2530","Eupatorium pilosum"
"2531","Quercus gambelii"
"2532","Tridens spp."
"2533","Chamaesyce laredana"
"2534","Muhlenbergia mexicana"
"2535","Schizachyrium spp."
"2536","Asclepias longifolia"
"2537","Noccaea fendleri"
"2538","Spergularia diandra"
"2539","Aristolochia sp."
"2540","Sabatia macrophylla"
"2541","Smilax pumila"
"2542","Betula nigra"
"2543","Tillandsia usneoides"
"2544","Aesculus pavia"
"2545","Carpinus sp."
"2546","Quercus spp."
"2547","Kyllinga odorata"
"2548","Stylisma patens"
"2549","Sideroxylon sp."
"2550","Ulmaceae spp."
"2551","Calochortus amabilis"
"2552","Helianthus radula"
"2553","Cornus asperifolia"
"2554","Scleranthus sp."
"2555","Dyschoriste sp."
"2556","Fraxinus caroliniana"
"2557","Lysimachia remyi"
"2558","Quercus geminata"
"2559","Croton michauxii"
"2560","Melica mutica"
"2561","Symphyotrichum urophyllum"
"2562","Rhamnaceae sp."
"2563","Rhynchospora colorata"
"2564","Hamamelidaceae sp."
"2565","Indigofera sp."
"2566","Ulmaceae sp."
"2567","Crataegus uniflora"
"2568","Hymenocallis occidentalis"
"2569","Serenoa repens"
"2570","Serenoa sp."
"2571","Caprifoliaceae sp."
"2572","Ilex cassine"
"2573","Croomia sp."
"2574","Vaccinium elliottii"
"2575","Tilia sp."
"2576","Hypoxis juncea"
"2577","Eragrostis elliottii"
"2578","Delphinium inopinum"
"2579","Zornia bracteata"
"2580","Chasmanthium sessiliflorum"
"2581","Bidens alba"
"2582","Seymeria pectinata"
"2583","Silphium compositum"
"2584","Rumex frutescens"
"2585","Bulbostylis ciliatifolia"
"2586","Eubotrys racemosa"
"2587","Mikania sp."
"2588","Nephrolepis sp."
"2589","Aquifoliaceae sp."
"2590","Chasmanthium laxum"
"2591","Leitneria sp."
"2592","Dichanthelium dichotomum"
"2593","Ipomoea quamoclit"
"2594","Urochloa texana"
"2595","Dysphania ambrosioides"
"2596","Richardia scabra"
"2597","Sorghum bicolor"
"2598","Indigofera hirsuta"
"2599","Pennisetum sp."
"2600","Sorghum sp."
"2601","Hypericum gentianoides"
"2602","Agalinis fasciculata"
"2603","Gamochaeta spp."
"2604","Digitaria bicornis"
"2605","Plantaginaceae sp."
"2606","Arachis hypogaea"
"2607","Urochloa ramosa"
"2608","Brassica sp."
"2609","Raphanus sativus"
"2610","Scoparia dulcis"
"2611","Cenchrus longispinus"
"2612","Paspalum floridanum"
"2613","Sida elliottii"
"2614","Cenchrus sp."
"2615","Paspalum plicatulum"
"2616","Senna sp."
"2617","Cynodon sp."
"2618","Sida rhombifolia"
"2619","Digitaria spp."
"2620","Lupinus villosus"
"2621","Dichanthelium erectifolium"
"2622","Pennisetum villosum"
"2623","Sphenopholis filiformis"
"2624","Liatris tenuifolia"
"2625","Cyperus grayi"
"2626","Eriogonum tomentosum"
"2627","Scleria reticularis"
"2628","Tephrosia ×floridana"
"2629","Polygonum scandens"
"2630","Physalis hederifolia"
"2631","Funastrum cynanchoides"
"2632","Silphium sp."
"2633","Stylisma sp."
"2634","Scutula sp."
"2635","Callisia graminea"
"2636","Achnatherum nelsonii"
"2637","Lygodesmia aphylla"
"2638","Rhynchospora recognita"
"2639","Amelanchier canadensis"
"2640","Dichanthelium strigosum"
"2641","Gaylussacia tomentosa"
"2642","Lemna minor"
"2643","Liatris pilosa"
"2644","Rhynchosia sp."
"2645","Solidago tortifolia"
"2646","Acanthaceae sp."
"2647","Jacquemontia sp."
"2648","Dalea obovata"
"2649","Scutellaria incana"
"2650","Verbenaceae sp."
"2651","Sorghastrum spp."
"2652","Lechea sessiliflora"
"2653","Liatris gracilis"
"2654","Passifloraceae sp."
"2655","Sorghastrum elliottii"
"2656","Gaylussacia mosieri"
"2657","Sphaeralcea coccinea"
"2658","Galactia elliottii"
"2659","Liatris elegantula"
"2660","Rubus canadensis"
"2661","Lespedeza thunbergii"
"2662","Eupatorium ×pinnatifidum"
"2663","Tetraneuris grandiflora"
"2664","Cirsium horridulum"
"2665","Hypoxis sp."
"2666","Astragalus reflexus"
"2667","Hyptis sp."
"2668","Rhexia mariana"
"2669","Fimbristylis sp."
"2670","Stachys bigelovii"
"2671","Rhynchospora compressa"
"2672","Schoenolirion sp."
"2673","Rhexia nashii"
"2674","Dalea pinnata"
"2675","Bidens bipinnata"
"2676","Carex longii"
"2677","Chamaesyce spp."
"2678","Digitaria filiformis"
"2679","Dichondra sp."
"2680","Erechtites sp."
"2681","Rhynchospora megalocarpa"
"2682","Agrimonia sp."
"2683","Galactia spp."
"2684","Hypericum crux-andreae"
"2685","Ipomoea cordatotriloba"
"2686","Helianthemum sp."
"2687","Pinus echinata"
"2688","Calochortus catalinae"
"2689","Quercus georgiana"
"2690","Kyllinga sp."
"2691","Pinus clausa"
"2692","Plantago heterophylla"
"2693","Nephrolepis cordifolia"
"2694","Cheilanthes notholaenoides"
"2695","Symphyotrichum dumosum"
"2696","Croptilon sp."
"2697","Axonopus sp."
"2698","Sorghum bicolor"
"2699","Stylisma patens"
"2700","Hymenothrix wrightii"
"2701","Lespedeza bicolor"
"2702","Paspalum laeve"
"2703","Paspalidium sp."
"2704","Onagraceae sp."
"2705","Urticaceae sp."
"2706","Muntingia calabura"
"2707","Ipomoea barbatisepala"
"2708","Rottboellia cochinchinensis"
"2709","Cyperus lupulinus"
"2710","Oxalis rubra"
"2711","Rhododendron cumberlandense"
"2712","Saccharum giganteum"
"2713","Euphorbia tetrapora"
"2714","Desmodium tenuifolium"
"2715","Lobelia sp."
"2716","Phacelia grandiflora"
"2717","Melinis repens"
"2718","Galactia pinetorum"
"2719","Rhodomyrtus tomentosa"
"2720","Chamaesyce hypericifolia"
"2721","Artemisia serrata"
"2722","Anthaenantia sp."
"2723","Pisonia sp."
"2724","Distichlis spicata"
"2725","Lesquerella angustifolia"
"2726","Verbesina heterophylla"
"2727","Crataegus ×anomala"
"2728","Cornaceae sp."
"2729","Ageratina sp."
"2730","Pleopeltis polylepis"
"2731","Rhynchospora inexpansa"
"2732","Striga asiatica"
"2733","Asimina reticulata"
"2734","Sideroxylon tenax"
"2735","Agrimonia gryposepala"
"2736","Quercus ×macnabiana"
"2737","Descurainia pinnata"
"2738","Yucca filamentosa"
"2739","Digitaria eriantha"
"2740","Gaura biennis"
"2741","Rhynchospora fascicularis"
"2742","Pityopsis oligantha"
"2743","Smilax lasioneura"
"2744","Desmodium triflorum"
"2745","Coreopsis lanceolata"
"2746","Tridax sp."
"2747","Dichaetophora spp."
"2748","Stellaria umbellata"
"2749","Rhynchospora microcephala"
"2750","Lechea torreyi"
"2751","Dalea albida"
"2752","Pteroglossaspis ecristata"
"2753","Desmodium procumbens"
"2754","Scrophularia sp."
"2755","Chenopodiaceae sp."
"2756","Euphorbia texana"
"2757","Scrophulariaceae sp."
"2758","Pennisetum purpureum"
"2759","Bulbostylis warei"
"2760","Digitalis sp."
"2761","Phyllanthus sp."
"2762","Richardia sp."
"2763","Polygala polygama"
"2764","Hypericum myrtifolium"
"2765","Sporobolus floridanus"
"2766","Galium uniflorum"
"2767","Dicentra canadensis"
"2768","Leptochloa dubia"
"2769","Rhynchospora debilis"
"2770","Cymbopogon refractus"
"2771","Buchnera americana"
"2772","Digitaria violascens"
"2773","Orobanchaceae sp."
"2774","Aletris obovata"
"2775","Penstemon laevigatus"
"2776","Hypericum cistifolium"
"2777","Digitaria texana"
"2778","Penstemon australis"
"2779","Aletris sp."
"2780","Crataegus spathulata"
"2781","Cyperus flavescens"
"2782","Chamaesyce maculata"
"2783","Pennisetum ciliare"
"2784","Desmodium lindheimeri"
"2785","Gaylussacia sp."
"2786","Carphephorus odoratissimus"
"2787","Cuscuta compacta"
"2788","Paronychia rugelii"
"2789","Eustachys neglecta"
"2790","Ipomoea triloba"
"2791","Amaranthaceae sp."
"2792","Amaranthus palmeri"
"2793","Cyperus polystachyos"
"2794","Dactyloctenium sp."
"2795","Euphorbia heterophylla"
"2796","Oenothera biennis"
"2797","Brassica juncea"
"2798","Daucus sp."
"2799","Cenchrus echinatus"
"2800","Vaccinium tenellum"
"2801","Dysphania anthelmintica"
"2802","Chasmanthium nitidum"
"2803","Ipomoea hederifolia"
"2804","Eryngium yuccifolium"
"2805","Cryptantha paysonii"
"2806","Dioscorea sp."
"2807","Butia sp."
"2808","Dioscorea floridana"
"2809","Ilex ambigua"
"2810","Clematis reticulata"
"2811","Chasmanthium spp."
"2812","Aesculus sp."
"2813","Juniperus sp."
"2814","Celastraceae sp."
"2815","Calochortus amoenus"
"2816","Halesia diptera"
"2817","Styracaceae sp."
"2818","Persea palustris"
"2819","Fagaceae sp."
"2820","Sapotaceae sp."
"2821","Centaurea virgata"
"2822","Ericaceae sp."
"2823","Ilex glabra"
"2824","Oleaceae sp."
"2825","Bignoniaceae sp."
"2826","Butia capitata"
"2827","Baccharis sp."
"2828","Pterocaulon pycnostachyum"
"2829","Piptochaetium avenaceum"
"2830","Dactyloctenium aegyptium"
"2831","Descurainia incana"
"2832","Tridens flavus"
"2833","Galactia floridana"
"2834","Solidago auriculata"
"2835","Toxicodendron sp."
"2836","Pennisetum glaucum"
"2837","Triumfetta semitriloba"
"2838","Symphyotrichum oblongifolium"
"2839","Chenopodium sp."
"2840","Mollugo sp."
"2841","Cyperus croceus"
"2842","Gamochaeta americana"
"2843","Paronychia setacea"
"2844","Tridens flavus"
"2845","Triosteum sp."
"2846","Ageratum houstonianum"
"2847","Maranta sp."
"2848","Euphorbia curtisii"
"2849","Cnicus sp."
"2850","Pinus glabra"
"2851","Pseudoleskea sp."
"2852","Oplismenus hirtellus"
"2853","Symphytum sp."
"2854","Liatris spicata"
"2855","Tephrosia hispidula"
"2856","Trichostema sp."
"2857","Pseudognaphalium spp."
"2858","Penstemon multiflorus"
"2859","Hypericum spp."
"2860","Pinus spp."
"2861","Setaria magna"
"2862","Psilotaceae sp."
"2863","Eremochloa ophiuroides"
"2864","Ophioglossum sp."
"2865","Oplismenus sp."
"2866","Chenopodium spp."
"2867","Paronychia baldwinii"
"2868","Crotalaria juncea"
"2869","Juncus dichotomus"
"2870","Corymbia calophylla"
"2871","Campanulaceae sp."
"2872","Oxalis debilis"
"2873","Panicum rigidulum"
"2874","Rhynchospora baldwinii"
"2875","Cymodocea filiformis"
"2876","Diplazium striatum"
"2877","Schinus terebinthifolius"
"2878","Liatris pauciflora"
"2879","Desmanthus spp."
"2880","Scutellaria incana"
"2881","Hymenocallis crassifolia"
"2882","Rhynchosia cinerea"
"2883","Hybanthus linearifolius"
"2884","Paspalum urvillei"
"2885","Erythrina herbacea"
"2886","Prunus spp."
"2887","Oldenlandia uniflora"
"2888","Sericocarpus sp."
"2889","Cyperus eragrostis"
"2890","Lespedeza spp."
"2891","Rhynchosia spp."
"2892","Verbena incompta"
"2893","Eupatorium leptophyllum"
"2894","Parapholis incurva"
"2895","Callicarpa sp."
"2896","Forestiera sp."
"2897","Forestiera acuminata"
"2898","Conradina sp."
"2899","Desmodium perplexum"
"2900","Cannabaceae sp."
"2901","Nothoscordum bivalve"
"2902","Bignonia sp."
"2903","Celtis spp."
"2904","Dioscoreaceae sp."
"2905","Arecaceae sp."
"2906","Clinopodium sp."
"2907","Calamintha sp."
"2908","Amaryllis sp."
"2909","Rosa sp."
"2910","Arabis sp."
