"Apocynum cannabinum,"
"Asclepias syriaca,"
"Hypericum punctatum,"
"Kummerowia striata,"
"Botrychium dissectum,"
"Equisetum hyemale,"
"Boehmeria cylindrica,"
"Carex frankii,"
"Carex vulpinoidea,"
"Glechoma hederacea,"
"Carex molestiformis,"
"Carex cephalophora,"
"Erigeron annuus,"
"Lepidium virginicum,"
"Ipomoea pandurata,"
"Saccharum baldwinii,"
"Verbascum thapsus,"
"Symphyotrichum lanceolatum,"
"Barbarea vulgaris,"
"Lactuca canadensis,"
"Melilotus officinalis,"
"Mollugo verticillata,"
"Pseudognaphalium obtusifolium,"
"Robinia pseudoacacia,"
"Silene antirrhina,"
"Silene latifolia,"
"Carduus nutans,"
"Cornus florida,"
"Anthemis arvensis,"
"Muscari botryoides,"
"Triodanis perfoliata,"
"Polygonum pensylvanicum,"
"Dichanthelium clandestinum,"
"Symphyotrichum lateriflorum,"
"Cyperus strigosus,"
"Cyperus lupulinus,"
"Morus rubra,"
"Ipomoea hederacea,"
"Quercus rubra,"
"Eragrostis hirsuta,"
"Rumex acetosella,"
"Carex rosea,"
"Carex radiata,"
"Carex swanii,"
"Ranunculus abortivus,"
"Podophyllum peltatum,"
"Carya cordiformis,"
"Stellaria media,"
"Calystegia sepium,"
"Potentilla simplex,"
"Ranunculus recurvatus,"
"Quercus alba,"
"Carpinus caroliniana,"
"Rubus allegheniensis,"
"Dichanthelium acuminatum,"
"Chondrilla juncea,"
"Trifolium arvense,"
"Silene vulgaris,"
"Botrychium virginianum,"
"Cirsium discolor,"
"Chimaphila maculata,"
"Miscanthus sinensis,"
"Cercis canadensis,"
"Sinapis alba,"
"Cynoglossum virginianum,"
"Polygonatum biflorum,"
"Cardamine concatenata,"
"Prenanthes altissima,"
"Campanulastrum americanum,"
"Artemisia annua,"
"Carex digitalis,"
"Galium circaezans,"
"Phryma leptostachya,"
"Carya ovalis,"
"Ophioglossum vulgatum,"
"Cruciata pedemontana,"
"Carya tomentosa,"
"Carex aggregata,"
"Juniperus virginiana,"
"Carex tribuloides,"
"Osmorhiza longistylis,"
"Lysimachia ciliata,"
"Poa sylvestris,"
"Elymus riparius,"
"Euonymus americanus,"
"Polystichum acrostichoides,"
"Poa pratensis,"
"Phytolacca americana,"
"Eurybia divaricata,"
"Viola triloba,"
"Chaiturus marrubiastrum,"
"Datura stramonium,"
"Panicum dichotomiflorum,"
"Panicum gattingeri,"
"Veronica persica,"
"Mimulus ringens,"
"Sisyrinchium angustifolium,"
"Conoclinium coelestinum,"
"Cyperus esculentus,"
"Solidago altissima,"
"Carex stipata,"
"Physalis heterophylla,"
"Achillea millefolium,"
"Rorippa palustris,"
"Bromus pubescens,"
"Lysimachia nummularia,"
"Carex granularis,"
"Rumex obtusifolius,"
"Carex platyphylla,"
